article,group,study_arm,TP,FP,TN,FN,N
Dragota 2026,SII (cáncer de tiroides vs. patología benigna),Deng 2022,78,45,329,62,514
Dragota 2026,SII (cáncer de tiroides vs. patología benigna),Refaat 2025,34,53,40,23,150
Dragota 2026,SII (cáncer de tiroides vs. patología benigna),Sorrenti 2025,126,17,23,31,197
Dragota 2026,SII (cáncer de tiroides vs. patología benigna),Şenoymak 2024,505,12,22,68,607
Dragota 2026,SII (cáncer de tiroides vs. patología benigna),Vural 2023,54,47,121,19,241
Dragota 2026,SII (cáncer de tiroides vs. patología benigna),Tang 2023,303,23,134,40,500
Manetas-Stavrakakis 2023,PPG,Bacevicius 2022,114,7,216,7,344
Manetas-Stavrakakis 2023,PPG,Chang 2022,109,10,78,3,200
Manetas-Stavrakakis 2023,PPG,Chen 2020 (A),132,2,242,7,383
Manetas-Stavrakakis 2023,PPG,Van Haelst 2018 (A),73,10,83,2,168
Manetas-Stavrakakis 2023,PPG,Mol 2020,139,2,101,3,245
Manetas-Stavrakakis 2023,PPG,Sun 2022,98,6,342,7,453
Manetas-Stavrakakis 2023,PPG,Tison 2018,50,5,46,1,102
Manetas-Stavrakakis 2023,PPG,Väliaho 2019 (A),102,2,105,4,213
Manetas-Stavrakakis 2023,PPG,Väliaho 2019 (B),101,2,105,5,213
Manetas-Stavrakakis 2023,PPG,Väliaho 2021 (A),75,18,79,1,173
Manetas-Stavrakakis 2023,PPG,Väliaho 2021 (B),75,10,87,1,173
Manetas-Stavrakakis 2023,PPG,Väliaho 2021 (C),72,3,94,4,173
Manetas-Stavrakakis 2023,PPG,Väliaho 2021 (D),70,1,96,6,173
Manetas-Stavrakakis 2023,PPG,Chan 2016 (A),26,22,963,2,1013
Manetas-Stavrakakis 2023,PPG,Dörr 2019 (A),222,5,266,15,508
Manetas-Stavrakakis 2023,PPG,Dörr 2019 (B),191,8,235,13,447
Manetas-Stavrakakis 2023,PPG,Dörr 2019 (C),156,4,198,11,369
Manetas-Stavrakakis 2023,PPG,Lubitz 2022,230,11,706,110,1057
Manetas-Stavrakakis 2023,ECG de una derivación,Badertscher 2022,19,3,247,6,275
Manetas-Stavrakakis 2023,ECG de una derivación,Bumgarner 2018,63,7,37,5,112
Manetas-Stavrakakis 2023,ECG de una derivación,Campo 2022,77,11,144,10,242
